rollout/success_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/total_timesteps,rollout/all_actual_path_length_mean,reward/distance,rollout/n_episodes,reward/collision,rollout/workspace_violation_rate,rollout/max_steps_rate,reward/smooth_action,rollout/action_norm_mean,train/learning_rate,reward/z_guard,rollout/distance_improvement_mean,rollout/all_expected_path_length_mean,train/actor_loss,reward/shake,reward/time,train/ent_coef_loss,reward/episode,reward/path_curvature,train/ent_coef,rollout/collision_rate,reward/success,rollout/reward_steps,train/critic_loss,reward/workspace,train/n_updates,reward/total,rollout/success_path_efficiency_percent_mean,rollout/success_actual_path_length_mean,rollout/success_expected_path_length_mean
0.97,1439,20481,15.08,7.750601929999999,249100,29480780,0.6559618899760382,-0.17592712929535909,8815,-0.14161480772299345,0.0159954622802042,0.34350538854225754,-0.0310059104395756,0.5492018082328123,0.0003,-0.004191032433583412,0.11361839203475654,0.18980243772773311,-8.964820861816406,-0.002593279612821114,0.0,0.022184640169143677,-0.14389432173060704,-0.0006201181794354674,0.0692572221159935,0.05615428247305729,0.09781014687668589,11581416,10.406898498535156,-0.04017643438418929,1052527,-0.4422128869218353,92.86653954036649,0.24806173133255702,0.19140642569343416
0.99,1439,20482,17.48,13.71046607,249150,29482012,0.6556830123754851,-0.1759242541588956,8820,-0.14160552745922075,0.01598639455782313,0.34331065759637186,-0.031004848997536628,0.549243706733719,0.0003,-0.004190757787964856,0.11362751962515671,0.18978946872357524,-11.6566743850708,-0.002593109670713856,0.0,-0.4041904807090759,-0.14388489208633093,-0.0006200969506012433,0.06848618388175964,0.05612244897959184,0.09789871073438279,11582175,0.7549866437911987,-0.040173801552817155,1052571,-0.442098577929655,92.87651403849505,0.2479802341169518,0.19138268508899256
0.98,1439,20482,18.49,10.17158859,249200,29483384,,,,,,,,,0.0003,,,,-10.34122085571289,,,-0.8351336121559143,,,0.06757139414548874,,,,1.8632633686065674,,1052620,,,,
0.93,1439,20483,23.92,-2.15314428,249250,29484672,0.6554369826557885,-0.17592460669427826,8825,-0.14159369352515117,0.015977337110481587,0.34311614730878187,-0.031003313749273818,0.5493029527585973,0.0003,-0.004190407567516163,0.11364380404669738,0.18978480116535432,-10.472963333129883,-0.0025928929652686027,0.0,-0.5391032099723816,-0.1438728676664011,-0.0006200662456425476,0.06674196571111679,0.056090651558073655,0.09798549495590272,11583143,3.5941591262817383,-0.040170444239529805,1052666,-0.44198279769711546,92.88201656848084,0.24795452235856594,0.19137316032961904
0.91,1439,20483,28.48,-9.251819750000003,249300,29485764,,,,,,,,,0.0003,,,,-7.972506046295166,,,-0.026607364416122437,,,0.0666399672627449,,,,2.1793031692504883,,1052705,,,,
0.94,1439,20484,22.09,-3.2757955700000014,249350,29486996,,,,,,,,,0.0003,,,,-10.602469444274902,,,-0.7802972793579102,,,0.06642856448888779,,,,1.6530617475509644,,1052749,,,,
0.93,1439,20484,23.02,-1.5152519599999994,249400,29488060,,,,,,,,,0.0003,,,,-8.998562812805176,,,-0.3754279613494873,,,0.065730981528759,,,,14.239798545837402,,1052787,,,,
0.93,1439,20484,25.92,0.6284980500000007,249450,29489124,0.6552106715306748,-0.17591466306810566,8830,-0.14157231677256896,0.015968289920724802,0.34292185730464325,-0.03100083108431608,0.5493414522646334,0.0003,-0.004189774931248549,0.1136698413600181,0.18978777350815665,-11.696220397949219,-0.002592696159826117,0.0,-1.0206304788589478,-0.143851146821222,-0.0006200165923384611,0.06516638398170471,0.05605889014722537,0.09806565309370169,11584892,1.0911201238632202,-0.04016437960750951,1052825,-0.44184017194339037,92.87660719684563,0.24796208818642723,0.19137670349476096
0.97,1439,20485,20.33,9.19407344,249500,29490328,,,,,,,,,0.0003,,,,-9.030792236328125,,,0.26426517963409424,,,0.06444206833839417,,,,361.7747802734375,,1052868,,,,
0.95,1439,20485,20.58,2.89220133,249550,29491224,,,,,,,,,0.0003,,,,-8.14671516418457,,,0.9697153568267822,,,0.06438561528921127,,,,83.88815307617188,,1052900,,,,
